"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
-0.38336145164732	-0.382758367785007	-0.372786039084097	-0.373755374071899	-0.372179665668092	-0.373750792426196	-0.363343738939292	-0.363332273059404
-0.000436529099294505	0.000166554763019291	0.0101388834639295	0.00916954847612744	0.0107452568799338	0.00917413012183027	0.0195811836087336	0.0195926494886219
0.0996250102694873	0.0991869973399102	0.170733945653896	0.171468505664857	0.170440792686313	0.171698378481025	0.220404419647265	0.220549831988025
0.9465	0.9475	0.999	0.9985	0.9985	0.999	0.9995	0.9995
-0.382820281019785	-0.382334291675397	-0.372228580990526	-0.374110453132601	-0.371678171990804	-0.373420815313902	-0.363720165985486	-0.362944807385112
0.000104641528240626	0.000590630872628951	0.0106963415575003	0.00881446941542545	0.0112467505572218	0.00950410723412377	0.0192047565625404	0.0199801151629144
0.101134101114521	0.098266099687089	0.172083538121931	0.17293156107994	0.170329648773205	0.174551770494491	0.221936987279449	0.223104479331537
0.9455	0.9465	0.9975	0.9985	0.998	0.9985	0.9995	0.9995
-0.364686000166711	-0.364038056902767	-0.355949410242586	-0.355033800361777	-0.355298729890223	-0.355046503181889	-0.346368306589046	-0.346386730750354
-0.000583961901987384	6.39813619572243e-05	0.00815262802213796	0.00906823790294722	0.00880330837450118	0.00905553508283456	0.0177337316756782	0.0177153075143696
0.0997229746822936	0.0992747266953246	0.204125999608259	0.171450254036546	0.203859885619994	0.17173823412916	0.247391700316557	0.247526179787095
0.7545	0.759	0.986	0.944	0.9855	0.946	0.9945	0.9955
-0.365030486512165	-0.364968187170211	-0.356594313456855	-0.356307164047292	-0.356483913985404	-0.355479178928546	-0.347947646150903	-0.34709739788957
-0.000928448247440889	-0.000866148905486554	0.00750772480786906	0.00779487421743172	0.0076181242793201	0.00862285933617828	0.0161543921138207	0.0170046403751545
0.101435670480507	0.0985818320850056	0.205391179439096	0.173167655275679	0.203952561995249	0.174816632226359	0.248941071434605	0.250024667140511
0.763	0.753	0.986	0.951	0.987	0.9505	0.9965	0.9955
