"V1"	"V2"	"V3"	"V4"	"V5"	"V6"
-0.382924922548026	-0.36156884618864	-0.413119748947867	-0.310017943429414	0.0213560763593861	1
-0.382924922548026	-0.38755655635006	-0.44397107929543	-0.33114203340469	-0.00463163380203391	1
-0.382924922548026	-0.41832564825277	-0.473273224141621	-0.363378072363918	-0.035400725704744	1
-0.382924922548026	-0.392956938247389	-0.445218712487129	-0.340695164007649	-0.0100320156993629	1
-0.382924922548026	-0.430121354630935	-0.487192003322224	-0.373050705939646	-0.0471964320829089	1
-0.382924922548026	-0.473600697265572	-0.527605013686116	-0.419596380845029	-0.090675774717546	1
-0.382924922548026	-0.41715944670064	-0.475603761792729	-0.358715131608551	-0.0342345241526139	1
-0.382924922548026	-0.381162283245606	-0.436677468694521	-0.325647097796691	0.00176263930242004	1
-0.382924922548026	-0.383597520963603	-0.43862835294407	-0.328566688983136	-0.00067259841557693	1
-0.382924922548026	-0.418554443261552	-0.473073459186434	-0.36403542733667	-0.0356295207135259	1
-0.382924922548026	-0.451092559878401	-0.528443209988786	-0.373741909768016	-0.068167637330375	1
-0.382924922548026	-0.369179320412872	-0.422546382676432	-0.315812258149312	0.0137456021351541	1
-0.382924922548026	-0.454253635391452	-0.510028289645019	-0.398478981137884	-0.071328712843426	1
-0.382924922548026	-0.415543218950125	-0.470704671088435	-0.360381766811815	-0.032618296402099	1
-0.382924922548026	-0.41563653077722	-0.489086319253695	-0.342186742300745	-0.0327116082291939	1
-0.382924922548026	-0.460194602942898	-0.522700529695067	-0.39768867619073	-0.0772696803948719	1
-0.382924922548026	-0.41534449427884	-0.47562449105451	-0.35506449750317	-0.0324195717308139	1
-0.382924922548026	-0.425046154334853	-0.498019767303256	-0.352072541366451	-0.0421212317868269	1
-0.382924922548026	-0.37675859801467	-0.432784817836967	-0.320732378192374	0.00616632453335608	1
-0.382924922548026	-0.395523030691113	-0.454487990528665	-0.33655807085356	-0.0125981081430869	1
-0.382924922548026	-0.434369184400041	-0.489924304539816	-0.378814064260266	-0.0514442618520149	1
-0.382924922548026	-0.438320396198789	-0.494036204691753	-0.382604587705824	-0.0553954736507629	1
-0.382924922548026	-0.428101816135464	-0.486386436191843	-0.369817196079085	-0.0451768935874379	1
-0.382924922548026	-0.394847106028973	-0.450010467294363	-0.339683744763584	-0.0119221834809469	1
-0.382924922548026	-0.461985003624597	-0.519355596022859	-0.404614411226335	-0.0790600810765709	1
-0.382924922548026	-0.428233948018155	-0.485844010008859	-0.37062388602745	-0.0453090254701289	1
-0.382924922548026	-0.411994489457698	-0.477173606829552	-0.346815372085844	-0.0290695669096719	1
-0.382924922548026	-0.380412319141292	-0.434793420274467	-0.326031218008118	0.00251260340673409	1
-0.382924922548026	-0.450397215769606	-0.508546330184436	-0.392248101354775	-0.0674722932215799	1
-0.382924922548026	-0.42246506670869	-0.4791581493185	-0.365771984098879	-0.0395401441606639	1
-0.382924922548026	-0.410206340608652	-0.461607964226657	-0.358804716990648	-0.027281418060626	1
-0.382924922548026	-0.412049679638819	-0.465772100911317	-0.358327258366322	-0.0291247570907929	1
-0.382924922548026	-0.36956306400987	-0.425413658286842	-0.313712469732897	0.0133618585381561	1
-0.382924922548026	-0.401704161778951	-0.472684434076275	-0.330723889481627	-0.0187792392309249	1
-0.382924922548026	-0.375286366225137	-0.440374851661315	-0.310197880788958	0.00763855632288907	1
-0.382924922548026	-0.352564734469858	-0.407785302306374	-0.297344166633342	0.0303601880781681	1
-0.382924922548026	-0.403663480791148	-0.458755236159114	-0.348571725423182	-0.0207385582431219	1
-0.382924922548026	-0.380132517467872	-0.434600322448334	-0.325664712487409	0.00279240508015405	1
-0.382924922548026	-0.476105216372356	-0.533963798416979	-0.418246634327734	-0.0931802938243299	1
-0.382924922548026	-0.409024719748569	-0.461011594278943	-0.357037845218195	-0.026099797200543	1
-0.382924922548026	-0.406671432699513	-0.461312568014995	-0.352030297384032	-0.0237465101514869	1
-0.382924922548026	-0.403257322065691	-0.466707026488855	-0.339807617642528	-0.0203323995176649	1
-0.382924922548026	-0.422656279064671	-0.477859891831815	-0.367452666297527	-0.0397313565166449	1
-0.382924922548026	-0.3886556112515	-0.458537574283577	-0.318773648219423	-0.00573068870347393	1
-0.382924922548026	-0.440547611378835	-0.507292315284115	-0.373802907473554	-0.057622688830809	1
-0.382924922548026	-0.465568206526895	-0.523269504221696	-0.407866908832094	-0.0826432839788689	1
-0.382924922548026	-0.386657033851432	-0.440231231388861	-0.333082836314003	-0.00373211130340595	1
-0.382924922548026	-0.430328120984107	-0.499814569685196	-0.360841672283018	-0.0474031984360809	1
-0.382924922548026	-0.398609338333421	-0.462509482534531	-0.334709194132311	-0.0156844157853949	1
-0.382924922548026	-0.419673824567919	-0.476317279014672	-0.363030370121166	-0.0367489020198929	1
-0.382924922548026	-0.430962551321948	-0.495214743810783	-0.366710358833112	-0.0480376287739219	1
-0.382924922548026	-0.390256396110625	-0.444305330177584	-0.336207462043666	-0.00733147356259894	1
-0.382924922548026	-0.423460317550617	-0.479841701018652	-0.367078934082583	-0.040535395002591	1
-0.382924922548026	-0.435421719485679	-0.489184655321775	-0.381658783649583	-0.0524967969376529	1
-0.382924922548026	-0.401454160338897	-0.457199688910942	-0.345708631766852	-0.018529237790871	1
-0.382924922548026	-0.397836465017154	-0.450672746221576	-0.345000183812733	-0.0149115424691279	1
-0.382924922548026	-0.376445936303016	-0.429165607719803	-0.32372626488623	0.00647898624501009	1
-0.382924922548026	-0.396459484896457	-0.451926484230979	-0.340992485561935	-0.0135345623484309	1
-0.382924922548026	-0.448577317761266	-0.507516910789998	-0.389637724732533	-0.06565239521324	1
-0.382924922548026	-0.354492751341614	-0.413906144817178	-0.295079357866051	0.0284321712064121	1
-0.382924922548026	-0.376754701740209	-0.437234180760892	-0.316275222719526	0.0061702208078171	1
-0.382924922548026	-0.485849594864832	-0.551171431139816	-0.420527758589848	-0.102924672316806	1
-0.382924922548026	-0.451534024564236	-0.505565955210705	-0.397502093917766	-0.06860910201621	1
-0.382924922548026	-0.401478855431024	-0.454443586636314	-0.348514124225735	-0.0185539328829979	1
-0.382924922548026	-0.401347952191404	-0.458754216928195	-0.343941687454612	-0.0184230296433779	1
-0.382924922548026	-0.414565064853679	-0.472553280880626	-0.356576848826733	-0.0316401423056529	1
-0.382924922548026	-0.389111300447076	-0.443374025555057	-0.334848575339095	-0.00618637789904991	1
-0.382924922548026	-0.402427489052783	-0.459348476220589	-0.345506501884977	-0.019502566504757	1
-0.382924922548026	-0.425460822730888	-0.480485907283796	-0.37043573817798	-0.0425359001828619	1
-0.382924922548026	-0.408632521584375	-0.464288893784402	-0.352976149384348	-0.0257075990363489	1
-0.382924922548026	-0.429310322815391	-0.491328470912731	-0.367292174718052	-0.0463854002673649	1
-0.382924922548026	-0.391820689141511	-0.45118506940206	-0.332456308880962	-0.00889576659348496	1
-0.382924922548026	-0.362136196857546	-0.423569156213623	-0.300703237501468	0.0207887256904801	1
-0.382924922548026	-0.38295465731534	-0.437642674751517	-0.328266639879163	-2.97347673139381e-05	1
-0.382924922548026	-0.401699259517704	-0.458115488921594	-0.345283030113814	-0.018774336969678	1
-0.382924922548026	-0.383054209510123	-0.436034233660968	-0.330074185359278	-0.000129286962096908	1
-0.382924922548026	-0.45835534743385	-0.516315018048389	-0.400395676819312	-0.0754304248858239	1
-0.382924922548026	-0.349386416138181	-0.414381565357129	-0.284391266919233	0.0335385064098451	1
-0.382924922548026	-0.47294612757826	-0.527527615192652	-0.418364639963868	-0.0900212050302339	1
-0.382924922548026	-0.36298830902582	-0.416568149381774	-0.309408468669867	0.019936613522206	1
-0.382924922548026	-0.413829412455888	-0.468208653472684	-0.359450171439093	-0.0309044899078619	1
-0.382924922548026	-0.418223006076987	-0.480201254093912	-0.356244758060061	-0.0352980835289609	1
-0.382924922548026	-0.350478405405997	-0.406578665545148	-0.294378145266847	0.0324465171420291	1
-0.382924922548026	-0.367771227005675	-0.420464634689947	-0.315077819321404	0.0151536955423511	1
-0.382924922548026	-0.376814273306976	-0.431488425715482	-0.32214012089847	0.00611064924105009	1
-0.382924922548026	-0.443620549833456	-0.497103921691845	-0.390137177975067	-0.0606956272854299	1
-0.382924922548026	-0.403468591937329	-0.461167075163723	-0.345770108710934	-0.0205436693893029	1
-0.382924922548026	-0.454685882186262	-0.5112113429004	-0.398160421472124	-0.0717609596382359	1
-0.382924922548026	-0.409023334781119	-0.477129356354009	-0.340917313208228	-0.0260984122330929	1
-0.382924922548026	-0.383091078964554	-0.434707793034944	-0.331474364894165	-0.000166156416527952	1
-0.382924922548026	-0.401088894032587	-0.455967575859216	-0.346210212205959	-0.0181639714845609	1
-0.382924922548026	-0.411448421266851	-0.470272863378323	-0.352623979155379	-0.0285234987188249	1
-0.382924922548026	-0.362884000399862	-0.417391182683053	-0.30837681811667	0.0200409221481641	1
-0.382924922548026	-0.343865551867451	-0.395207221443113	-0.292523882291788	0.0390593706805751	1
-0.382924922548026	-0.381374794968745	-0.453810715649092	-0.308938874288398	0.00155012757928108	1
-0.382924922548026	-0.384711777186038	-0.439174713873806	-0.330248840498271	-0.00178685463801193	1
-0.382924922548026	-0.365986812019197	-0.418461755232257	-0.313511868806137	0.016938110528829	1
