"V1"	"V2"	"V3"	"V4"
-0.0946199511660133	0.0492773599723296	0.0438182016589126	0.219018094367266
-0.122137771080306	-0.024586679166728	-0.0218948724060629	0.0789494263765999
-0.128010700973218	-0.0221057128867573	-0.0289529401487154	0.111695579573113
-0.0777388096237409	0.0716278138910977	0.0711127534620707	0.224254364099998
-0.0626844455333703	0.0830705135502963	0.0814230209208738	0.238352556246601
-0.0363119384052185	0.0261397339548423	0.0261191328264896	0.0894832974326452
-0.282939108114225	0.015096747549847	0.000220610754840604	0.413430411588882
0.00236278891316046	0.0504413693685667	0.0502153074780672	0.0993875849605764
-0.0572494520640643	-0.010731811649213	-0.0106789438520507	0.0348713742117483
-0.134438836779	0.000973708578184361	-4.45769280744348e-05	0.143998228028203
