"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.102751298125406	-0.0192990688853612	0.0182105998594543	0.0566477247842209	0.145528676327318
"alpha_z1"	-4.06566209606328	-3.22649977897094	-2.81977288417812	-2.44304054640333	-1.67941245634085
"alpha_z2"	-3.441157773833	-2.56796526998212	-2.15148439329888	-1.73767122358217	-0.835955366701782
"b1out"	0.0901655779144314	0.112851107438604	0.125534116355797	0.138759889747574	0.165550666667486
"pia"	0.0290171955236537	0.0668803647310133	0.0981377372006709	0.141340225616235	0.289057915059559
"pic"	0.655844953122192	0.796000014624822	0.842269177341306	0.878824247213873	0.929802222728183
"pin"	0.0147076565136258	0.0335223936933685	0.0496459514073318	0.0709545890876957	0.143006661052604
"s1out"	0.0157342484443326	0.0465403365700087	0.0801091138523605	0.138230938844768	0.399325097901932
"sigma_s"	0.925767702625348	1.43585861376157	1.8252674956721	2.35261361498915	4.06896195018687
"sigma_u"	0.473973944912899	0.607322344342147	0.704250197805067	0.830867465854099	1.20620952727106
"sigma_v"	0.450139630303054	0.569655296798162	0.655427567619104	0.763946298045382	1.06991431033206
"sigma_z1"	1.0245896942513	1.37113611161451	1.62353196829866	1.94918768399826	2.89229042135291
"sigma_z2"	1.23683565356939	1.63247489309411	1.91802945399512	2.28386508469655	3.32593631430786
"u1out"	0.0204220525767305	0.0517238308033776	0.0738871952888103	0.100865063896077	0.171666537016039
"v1out"	0.020558749628006	0.0446479397050106	0.0623632262255184	0.0842038691386843	0.146020451849998
