"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.103925488426884	-0.0189868955280542	0.0188585912363816	0.0577623729775026	0.149405432474481
"Sigma_Z[1,1]"	1.01828426832799	1.95000653953758	2.84516949360704	4.30983784525788	10.8595847000901
"Sigma_Z[2,1]"	-1.93091032232864	0.0824614189844523	0.866241572917851	1.90477161107811	5.8902521744537
"Sigma_Z[1,2]"	-1.93091032232864	0.0824614189844523	0.866241572917851	1.90477161107811	5.8902521744537
"Sigma_Z[2,2]"	1.63154884374205	3.04281350974443	4.37510860172084	6.49127396554442	15.1660807582358
"b1out"	0.0902694881833178	0.11267355573627	0.12548142599851	0.138808700410031	0.165794811998246
"pia"	0.0232016530619173	0.0668033966772888	0.0998032642561168	0.143448103220852	0.278324618720697
"pic"	0.625093710605079	0.785105980719824	0.836034016563974	0.876822913531409	0.935230442393448
"pin"	0.0141353874185643	0.0384688629875463	0.0554712407841342	0.0785264665384889	0.16426067985996
"s1out"	0.0154362857154896	0.0461979796807982	0.0798310454326415	0.138073274722647	0.391331283166459
"sigma_s"	0.925831134698332	1.43853641976442	1.83198039335994	2.35835840961082	4.06637130448385
"sigma_u"	0.4743714637226	0.607474327209378	0.70571786066572	0.833273981727073	1.21223928309938
"sigma_v"	0.451754013939774	0.571347859169455	0.657528992385902	0.7676167750488	1.07888488094929
"u1out"	0.0545311361594294	0.0927300114330152	0.119192310064461	0.151660519707005	0.237450294400799
"v1out"	0.0467533221721074	0.077441399916425	0.0994125838812136	0.127190992044702	0.204841118209047
