"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.0107756408451339	0.00748333495650498	0.0170442369174873	0.026540535771309	0.044755954337216
"b1out"	0.0867373540283057	0.109693446786464	0.122872080746589	0.13691376353269	0.165908657912843
"pia"	0.162098858276572	0.178730183729411	0.186997685022997	0.195178210711945	0.210917955864634
"pic"	0.691128295528969	0.745055641509207	0.763225187388798	0.778038494294445	0.800417276095518
"pin"	0.01348711017963	0.0320075934939371	0.0475914632731489	0.0684124793493768	0.135143760263881
"s1out"	0.0154320641376526	0.0467710167292183	0.0807909476285046	0.14006658349587	0.393510196966311
"sigma_s"	1.05176276676594	1.56111846038097	1.94518351952248	2.46750808262159	4.16944768947338
"sigma_z1"	1.05076640960408	1.40426037877475	1.66210938284938	1.99817708661906	2.97497065181567
"u1out"	0.0641817869087079	0.0781314320795329	0.0855877671912694	0.0932153422614817	0.108209299531163
"v1out"	0.0525220459847212	0.0627783777016334	0.068495346955812	0.0744299698158218	0.0862869288810718
