"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.101071773870745	-0.0171166821351255	0.0205168071542008	0.0598129553713422	0.152150686123312
"Sigma_Z[1,1]"	1.02617930438415	1.96107702699948	2.8538088324173	4.292886695156	10.2930942174626
"Sigma_Z[2,1]"	-1.90197582911937	0.0852978545311558	0.876958874580351	1.95248676927746	6.16806559534361
"Sigma_Z[1,2]"	-1.90197582911937	0.0852978545311558	0.876958874580351	1.95248676927746	6.16806559534361
"Sigma_Z[2,2]"	1.66119794756419	3.10545220843221	4.49291621406003	6.72532411939474	16.128097457599
"b1out"	0.0373115171942453	0.0725309783700712	0.0960662530859677	0.124536354281232	0.202797499947399
"pia"	0.0235567337815135	0.0652346916805127	0.100167772005939	0.148847605631644	0.320573107984444
"pic"	0.599694210729196	0.782530262090032	0.836600669687872	0.879110505174557	0.939302591691917
"pin"	0.015630832379314	0.0362927259210871	0.0544194362814694	0.0778325989856126	0.152619278433575
"s1out"	0.0157119506091397	0.0464158976976607	0.0797158420258212	0.136342151532044	0.383182106056979
"sigma_b"	0.539333180740961	0.722367300783302	0.864577984721223	1.05518602269823	1.66295361123872
"sigma_s"	0.921353272976146	1.43133791763341	1.81908447842179	2.34133151701222	4.02248792791119
"sigma_u"	0.479337698525339	0.617575927461685	0.71860097464434	0.849298354818761	1.23530828654386
"sigma_v"	0.450347229275953	0.570360343694444	0.656914864963993	0.766836404046103	1.08262540885478
"u1out"	0.0554877988357425	0.0938317904927627	0.120652148393833	0.153874475840296	0.242076591441031
"v1out"	0.0463586528862189	0.0775562638045	0.0994328788283263	0.127014705283046	0.202694381715557
