"2.5%"	"25%"	"50%"	"75%"	"97.5%"
"CACE"	-0.0170184789773963	0.0232454591289559	0.0500888505263151	0.0829501552480642	0.171343609476429
"b1out"	0.0902934464676052	0.112878093372689	0.125645810529391	0.139008149947349	0.166067594633892
"pia"	0.0275301321936239	0.065638950117837	0.0965380255999885	0.140046352125495	0.297448989614016
"pic"	0.648385647161964	0.795237692336042	0.842692054878969	0.878752961258811	0.93065203082802
"pin"	0.0152427816158845	0.0350273087022816	0.0510071463737414	0.0728594606205016	0.14111314484776
"s1out"	0.0143139149982488	0.0447873577366781	0.079026132334663	0.138679313468674	0.409400727039967
"sigma_s"	1.0543183016457	1.59523074087115	2.00450965735464	2.562567485332	4.41040757964608
"sigma_u"	0.474106265104663	0.607381178748957	0.705600586382637	0.832749465644327	1.2052508023573
"sigma_z1"	1.01963786468781	1.36278090964872	1.61427914782985	1.93973849966906	2.87713751535029
"sigma_z2"	1.23766286128406	1.63411257501197	1.92099996907434	2.28891191127056	3.32863963221388
"u1out"	0.0194692815556116	0.0510590448895695	0.0732430548637793	0.100488195093129	0.175345886921755
"v1out"	0.0528611289989739	0.0629608067796997	0.0685545517429944	0.074382784346429	0.0862027194679121
