"Mean"	"SD"	"Naive SE"	"Time-series SE"
"CACE"	0.0208033345917626	0.0630570670535627	0.000115125926784507	0.000781954841709614
"alpha_z1"	-2.79729032210374	0.58751497359165	0.001072650679694	0.0188027711092787
"alpha_z2"	-2.18045378193314	0.658373128480744	0.0012020193790805	0.0201202032272785
"b1out"	0.101116303440697	0.042547452146276	7.76806643496233e-05	0.00040596040275767
"pia"	0.110055285160447	0.0641933301405665	0.000117200449864549	0.00183965989675277
"pic"	0.831299918179238	0.0661722303350668	0.000120813410783146	0.00188628390357892
"pin"	0.058644796660315	0.0326973409356335	5.96969040029452e-05	0.000970037482299571
"s1out"	0.111020631940079	0.101072747651055	0.000184532746125033	0.000922441479703399
"sigma_b"	0.924315303764967	0.293632179497261	0.000536096561066853	0.0014698985767965
"sigma_s"	1.99711658248719	0.824018260990371	0.00150444463113535	0.00548213289712324
"sigma_u"	0.755279348076717	0.197693849134631	0.000360937935503535	0.00115236262648112
"sigma_v"	0.684086344260657	0.16276572771993	0.000297168202203164	0.000684510692996441
"sigma_z1"	1.69988581615108	0.479907989044263	0.000876188103754951	0.00305432036579346
"sigma_z2"	2.01212465934604	0.541053411873643	0.000987823861661092	0.00370989005138122
"u1out"	0.0789050020187099	0.0409685141737859	7.47979312015088e-05	0.00059481095477546
"v1out"	0.0666393163703501	0.0321506708022536	5.86988254577235e-05	0.000397600291464432
