"Lower"	"Mean"	"Median"	"Upper"	"SD"
-0.531555564678326	-0.262842354805836	-0.264333988009833	0.0128314283875964	0.137735917548568
-0.636330856442079	-0.428234799781092	-0.427116235679711	-0.226316783882612	0.104120041952904
-0.773310752600579	-0.501377150211229	-0.495762161611945	-0.265038160980896	0.128060359806519
-0.646733221411754	-0.444648516524327	-0.44337286915784	-0.25202212090933	0.100111485088489
-0.989361726112481	-0.752696697016475	-0.758451415413934	-0.469589432196024	0.138264884913779
-0.501939728388322	-0.213637218453788	-0.216548782617835	0.0917887576477012	0.149963710404839
-0.710577738760406	-0.48416436015616	-0.481857018090988	-0.272699336714014	0.110838489066048
-0.688934509111374	-0.371168854209089	-0.367321402132877	-0.0783440455630522	0.153498052111663
-0.862069513633273	-0.579967894476478	-0.574039890386742	-0.326703628869568	0.136152196951133
-0.852978671921799	-0.58112117690471	-0.577418298869606	-0.326193592360653	0.134559888628338
-0.724539719975354	-0.478903417822135	-0.474831929317283	-0.257938911170737	0.118030267836952
-0.605650696669561	-0.321516290940797	-0.31832248253413	-0.0556865837145642	0.13880659417563
-0.559585682842489	-0.305453579738304	-0.303313174969651	-0.064182841499995	0.125581305694371
-0.771646309544968	-0.537295584356238	-0.533443170924778	-0.326508437132397	0.112254548068542
-0.553529267989735	-0.339108981970045	-0.338284966345725	-0.128627554504076	0.10794970658289
-0.712987389366223	-0.481351905917026	-0.480138442918608	-0.253920403558874	0.118077285183633
-0.868567543236468	-0.634219426610222	-0.632413595267258	-0.406977816825952	0.118669339837445
-0.398612695888191	-0.165336010882258	-0.167397563242546	0.0815198812563194	0.122274772829651
-0.576107553455457	-0.255638357944937	-0.254300648041476	0.0588609242862313	0.161216425336085
-0.868450529580486	-0.600292998992845	-0.594577762968408	-0.363850808543703	0.128017336654171
