"Lower"	"Mean"	"Median"	"Upper"	"SD"
-0.253009422935953	-0.00649295666922193	-0.0101102103845268	0.261030272413798	0.129778673701498
-0.65974841544068	-0.445560611716384	-0.444308833916863	-0.240549712244306	0.106457510055344
-0.615402473801393	-0.360741303589376	-0.364613110341041	-0.084372594536299	0.136125836826545
-0.651112265845432	-0.408750404651892	-0.407170602597369	-0.174770780095441	0.120308349729914
-0.652066949445991	-0.439340492294741	-0.43824166120783	-0.233261879651034	0.106189340611155
-0.578144215569821	-0.329968781209919	-0.330320667633597	-0.0803961317122565	0.126293326932449
-0.848921958118707	-0.628708512120293	-0.624847680616944	-0.430591278767273	0.105822843089113
-0.286508230422671	-0.0436472518376992	-0.0471403467174598	0.2196808584886	0.128267590744779
-0.503476331196246	-0.300392490901236	-0.299953748718297	-0.101424454397229	0.102298582242128
-0.819398130943149	-0.637656702321852	-0.640245732220173	-0.443399018832007	0.0951454025656169
-0.936556076919198	-0.693903672261914	-0.69031342584302	-0.464302190795205	0.121398871885095
-0.687168362181327	-0.415705071359034	-0.417384683184085	-0.13245548021025	0.142246989944254
-0.50619187258283	-0.262358414179597	-0.26147179268443	-0.0259355896985452	0.121498261074717
-0.799388019960891	-0.551635243304966	-0.546961273042625	-0.328301480639906	0.119592919731659
-0.408207432307103	-0.220406460725381	-0.219604129728023	-0.0375279920567792	0.0938518125657062
-0.921636424972544	-0.665547506865638	-0.66193402392985	-0.426130954602671	0.126522563962264
-0.640490541373067	-0.334494972694395	-0.332468511712026	-0.0376331976818758	0.153532814209463
-0.489140146578011	-0.292990898371733	-0.294172800412513	-0.0914060002620234	0.101183356215858
-0.779681873559526	-0.505216258146335	-0.499753555917858	-0.260055764493783	0.131897365014005
-0.872803238565323	-0.591455004495554	-0.589771064879537	-0.325955543421976	0.137630718046261
