"Lower"	"Mean"	"Median"	"Upper"	"SD"
-0.308567577188858	-0.0144061466718727	-0.0178277552018131	0.297374806426995	0.154083128177874
-0.857121505349356	-0.58262948877309	-0.576467030447663	-0.339085836770518	0.13151682877516
-0.591855864738073	-0.345354965587334	-0.343192083664927	-0.107769018706404	0.123834832746944
-0.740544152154354	-0.487091915876462	-0.483706012423455	-0.255458444173347	0.122100663865463
-0.935477054535688	-0.678832788136618	-0.675890733967083	-0.434082290356414	0.128865769058407
-0.394778108469903	-0.176809868260832	-0.176216007850758	0.0390688564063095	0.110377964399281
-0.799665582553336	-0.554706383735171	-0.551654686048664	-0.327500357867902	0.119463090451538
-0.309039610660489	-0.0919553398608601	-0.0949681123554213	0.141138129621484	0.114154067289309
-0.74951593253163	-0.448256059130676	-0.442584939478585	-0.179560873123846	0.144333794712544
-0.726819211830943	-0.490117198050178	-0.489717704615379	-0.254433905458134	0.1205394193922
-0.553975943661202	-0.283934085051213	-0.282463363656091	-0.0234955726878849	0.134020003017528
-0.651466010914622	-0.421527330341689	-0.420460560891978	-0.198104629138873	0.115065697510464
-0.465316180176863	-0.231692275471223	-0.232744957843969	0.00676545002121099	0.119819668159659
-0.620323491976208	-0.367336256668149	-0.364077978783495	-0.132222986874403	0.123592139078825
-0.886118022852033	-0.561025608842604	-0.557025718738129	-0.26053728758564	0.158117894998965
-0.351437165442462	-0.105397076893228	-0.105856257436121	0.143721645165472	0.125528262095492
-0.724765039831862	-0.480720174549489	-0.477216520387629	-0.256614406380173	0.118303839907152
-0.668468038212769	-0.43934849248131	-0.436988389074589	-0.222971535718362	0.113121917502625
-0.800103202541862	-0.562238611537233	-0.560123242940768	-0.333109442084024	0.120006796253072
-0.433754166765356	-0.227436628837357	-0.227484064835497	-0.0202541306897373	0.105161330131179
