"Lower"	"Mean"	"Median"	"Upper"	"SD"
-0.978444387831218	-0.732515728028142	-0.735550054154407	-0.465724928315913	0.133732307250329
-0.741153007441456	-0.450962726572115	-0.445726276951096	-0.191332553563308	0.138750569632937
-0.784682869892653	-0.453053315750692	-0.44651130231192	-0.154184749361205	0.159976954792189
-0.665995895472052	-0.40218968091535	-0.400066932119029	-0.146008290248337	0.132654184433499
-0.588107657970451	-0.388250431814463	-0.387463400399641	-0.191251291495641	0.101009679561849
-0.562108203494882	-0.3693526524895	-0.368721029136565	-0.180866884368321	0.0968058761384682
-0.831955146335115	-0.547234977233688	-0.544270199155811	-0.279671210394199	0.140573803045708
-0.512475571876639	-0.251161806076194	-0.250239619912399	0.00461005785974386	0.131116156940577
-0.931801044356171	-0.67416756085988	-0.673344673032768	-0.424477622715965	0.129844050413123
-0.898262829620971	-0.528378143369429	-0.51983911439652	-0.198922562939594	0.178436201320684
-0.698855037858111	-0.46080031331743	-0.458283836101595	-0.240649942882671	0.1154106450329
-0.600358397493125	-0.270493681765938	-0.269349701870527	0.051139569842278	0.164231502139832
-0.651878537325726	-0.39129966274245	-0.388600798839398	-0.14947744183502	0.12704403399129
-0.590306796104548	-0.357475186012313	-0.356611201159992	-0.130807215841424	0.116526164187992
-0.530536490794815	-0.252943990920875	-0.253239374528608	0.0268549271881037	0.141101736192701
-0.742862280514653	-0.463411640852163	-0.45845443409241	-0.213371516503096	0.133311689622496
-0.831569705528608	-0.599613586035917	-0.602633953486804	-0.35192937640244	0.123721912714601
-0.403905537947901	-0.19143345128334	-0.193752189607533	0.0334039917869592	0.111242529780184
-0.758343693451913	-0.466903496280726	-0.461781075055699	-0.206016776337827	0.139337383680745
-0.64104370312361	-0.398871192013217	-0.397862425242214	-0.163839910361846	0.120795772396382
