"Lower"	"Mean"	"Median"	"Upper"	"SD"
-0.789390363330472	-0.56508317375839	-0.568865416161999	-0.320385297564238	0.118953256255691
-0.342813172166946	-0.12818095085377	-0.12917624857195	0.0920554850017984	0.11059966093712
-0.750647647721379	-0.542790088183445	-0.540888982306898	-0.341197693386407	0.104555297483969
-0.75110700102949	-0.526917309488164	-0.523867238164211	-0.321710859280488	0.108578130799011
-0.499353351685336	-0.253808376959337	-0.253552186775684	-0.0103603640923393	0.124046530525532
-0.607476446661711	-0.330868921711052	-0.327774757138781	-0.0702297512345974	0.135901327395822
-0.421301357591524	-0.238515255039168	-0.23918587080781	-0.0523639514635032	0.0938460365583871
-0.682168183519288	-0.439125749085464	-0.437469128154737	-0.203398085844324	0.121830213684282
-0.696220386421065	-0.464497635739844	-0.461876182517754	-0.246674646225188	0.114110397364993
-0.656651970776239	-0.32483025192758	-0.318252319266458	-0.0300453541565586	0.157811554518025
-0.529381367791235	-0.309374928844616	-0.307644076470188	-0.0969566759060092	0.109966113738102
-0.695814736267503	-0.401825347625797	-0.396612503090119	-0.141054116751313	0.139411277427007
-0.930356850899621	-0.717287017607936	-0.717677571710044	-0.509114421551975	0.1052565709405
-0.608192502879992	-0.41624378083228	-0.419009572026352	-0.207991737648372	0.102504502149576
-0.741850316966332	-0.448988593228364	-0.444387091928536	-0.179917712158366	0.14260704334799
-0.841281172385814	-0.605921015843981	-0.60411014850571	-0.380638890441052	0.117079022317255
-0.70899375862389	-0.456718040861902	-0.454590732623328	-0.213635729025058	0.126419232101774
-0.819997348148484	-0.52202464681295	-0.515924629958837	-0.257673217928089	0.141929713307528
-0.924404125197005	-0.632026825761884	-0.627919313921496	-0.359575612367275	0.143947937834139
-0.666405549126806	-0.418813805866607	-0.422972981779365	-0.150489042183465	0.132861694210826
