"Lower"	"Mean"	"Median"	"Upper"	"SD"
-0.759807533070445	-0.454439169105226	-0.448289444197747	-0.182568779094311	0.145824023116196
-0.691465529958951	-0.468104852839071	-0.466397126472781	-0.252160839416822	0.111377786564889
-0.453244604307025	-0.238562983452697	-0.23927567602812	-0.0188246779739736	0.110308288850792
-0.676367469409591	-0.482182767233356	-0.481077024957641	-0.295921954775362	0.0963583357374153
-0.568063298825649	-0.332381895237843	-0.33146508258616	-0.10094825601091	0.118380502157313
-0.720531469387166	-0.475499498469829	-0.475923415446798	-0.223911149937056	0.128162034737206
-0.741553037192052	-0.426111659633727	-0.418965023478458	-0.151977320312688	0.148322842165719
-0.484771602052776	-0.196030901373692	-0.19669104249753	0.0969443078429675	0.147288678093692
-0.675005298219313	-0.391194691651955	-0.38932878844567	-0.119573171040091	0.139610779051849
-0.688298706821913	-0.43654384359577	-0.433078233453131	-0.207935078756546	0.121270703427966
-0.68622366451704	-0.458669432586268	-0.456060011109642	-0.245117568511146	0.111805822736376
-0.764867376315784	-0.449851765207164	-0.444646137796473	-0.161445870686238	0.153066863970494
-0.936157324941644	-0.650912135869109	-0.646808481341014	-0.384223176704679	0.141653184175681
-0.374354161670788	-0.14765905745861	-0.149945635847698	0.0915657831060478	0.118509579728896
-0.645346001827021	-0.417371408277338	-0.415685231614303	-0.200764927136375	0.112463468802426
-0.674915384738077	-0.373750500998969	-0.369561752879109	-0.0924063027412362	0.147516070620068
-0.361668521111643	-0.16940880940181	-0.16993167274682	0.0249466880688917	0.0985550090404331
-0.701352425864055	-0.45416447371252	-0.450369276456135	-0.226232939777139	0.121150583063946
-0.75332044769174	-0.453950150814888	-0.447529284460082	-0.190873137699532	0.141889462495247
-0.662351042725389	-0.400650248062413	-0.39683537644438	-0.16066003660657	0.127083918078746
