"V1"	"V2"	"V3"	"V4"
-0.203960793562035	0.0830757180447718	0.090310939535653	0.312472400840316
-0.425545573271122	-0.125952744092156	-0.110631721954163	0.0873822621249142
-0.934429191677074	-0.230833493689242	-0.160361276065272	0.184946097593049
-0.600030679574936	-0.218168571762862	-0.20327908281948	0.0296354612615612
-0.945189921983458	-0.23946585718036	-0.159685371372851	0.043539330696918
-0.746036895939855	-0.0963995636450524	-0.0550481673959412	0.323527859793986
-0.812536665737979	-0.266238251018108	-0.272041228889409	0.330093831754372
-0.694421978833233	0.0175391102433258	0.0263931631334646	0.58153440633202
-0.340938168571711	-0.0200564411041953	-0.000985348808948758	0.199968419914378
-0.995329465510197	-0.605521529737893	-0.653608880612097	0.0242820309564509
-0.243046224581481	0.162329318239451	0.165061391427391	0.547583901328282
-0.473494166533143	-0.00849410696548059	0.00613193923462262	0.314760692532367
-0.617980106102248	-0.0735971685935266	-0.0175668586644081	0.225358823535745
-0.719779791850217	-0.160626656729563	-0.0993185964197898	0.101538506857884
-0.950376982638507	-0.26546028294118	-0.2186060403645	0.257039797059915
-0.591695107703087	-0.0300720842065333	0.00121447577379296	0.312160494409048
-0.71823379372909	-0.184042363970881	-0.16174018230224	0.185345109190523
-0.704793584063988	-0.0932935558697814	-0.0265775221168234	0.180572249425526
-0.783531738625973	-0.188776470416817	-0.15015344631921	0.161291035529429
-0.689680062869693	0.00332172962563591	0.0354132466447585	0.401074861763625
-0.633114297852167	-0.0540017300489771	-0.00764646614893957	0.28423866611338
-0.184189986217804	0.20260508403894	0.193886846937454	0.686931347271219
