"2.5%"	"50%"	"97.5%"
"CACE"	-0.12496453286614	-0.0261810128851388	0.0816769162259126
"pia"	0.0891529488006744	0.0983040540171117	0.108120400947843
"pin"	0.727201087628383	0.741562482499159	0.755518310824343
"pic"	0.143253553642751	0.160111747692329	0.176754562660342
"s1"	0.13768044597759	0.150503009288478	0.164539650283446
"b1"	0.0726663456088108	0.100571587946035	0.1336417040403
"u1"	0.0712940734894354	0.107027363735275	0.144188721754849
"v1"	0.0306674493991421	0.133407891792436	0.224879110587109
"sigma_z1"	0.363520325613527	0.473310484762028	0.649910279870299
